date,state,district,type,beds
1/1/2022,Johor,All Districts,all,5433
1/1/2022,Kedah,All Districts,all,2762
1/1/2022,Kelantan,All Districts,all,2970
1/1/2022,Melaka,All Districts,all,1454
1/1/2022,Negeri Sembilan,All Districts,all,1977
1/1/2022,Pahang,All Districts,all,2681
1/1/2022,Perak,All Districts,all,5887
1/1/2022,Perlis,All Districts,all,508
1/1/2022,Pulau Pinang,All Districts,all,2138
1/1/2022,Sabah,All Districts,all,5053
1/1/2022,Sarawak,All Districts,all,4119
1/1/2022,Selangor,All Districts,all,7640
1/1/2022,Terengganu,All Districts,all,1730
1/1/2022,W.P. Kuala Lumpur,All Districts,all,4874
1/1/2022,W.P. Labuan,All Districts,all,122
1/1/2022,W.P. Putrajaya,All Districts,all,637
